Report year,Agency name,Is agency active,Administrating agency name,Portfolio,Nil return,Date created,Last return by agency,Staff spending 75 per cent plus time on FOI,Staff spending more than 0 less than 75 per cent time on FOI,Estimated APS staff hours where normal duties include FOI,Estimated SES staff hours where normal duties include FOI,Estimated staff hours APS 6 and EL1 to 2 involved in FOI,Estimated staff hours APS 1 to 5 involved in FOI,Estimated staff hours ministers and advisers involved in FOI,Estimated staff hours other ministerial staff involved in FOI,Staff spending 75 per cent time plus on IPS,Staff spending more than 0 less than 75 per cent time on IPS,Estimated APS staff hours where normal duties include IPS,Estimated SES staff hours where normal duties include IPS,Estimated staff hours APS 6 and EL1 to 2 involved in IPS,Estimated staff hours APS 1 to 5 involved in IPS,Admin costs FOI AUD,Admin costs IPS AUD,Legal costs FOI AUD,Legal costs IPS AUD,Litigation costs FOI AUD,Litigation costs IPS AUD,Training costs FOI AUD,Training costs IPS AUD,Other costs FOI AUD,Other costs IPS  AUD
2011-2012,Wheat Exports Australia,TRUE,No data,"Agriculture, Fisheries and Forestry",FALSE,9/07/2012 16:34,FALSE,0,2,10,0,2,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Wine Australia Corporation,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,19/07/2012 14:00,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Administrative Appeals Tribunal,TRUE,No data,Attorney-General's,FALSE,23/07/2012 8:56,FALSE,0,3,20,5,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Administrative Review Council,TRUE,No data,Attorney-General's,TRUE,12/07/2012 7:59,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Admiralty Rules Committee,TRUE,Attorney-General's Department,Attorney-General's,TRUE,2/08/2012 11:05,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Attorney-General,TRUE,Attorney-General's Department,Attorney-General's,FALSE,2/08/2012 11:10,FALSE,0,2,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Attorney-General's Department,TRUE,Attorney-General's Department,Attorney-General's,FALSE,27/01/2012 12:12,FALSE,6,15,10080,150,250,50,100,50,0,4,100,0,0,0,7500,1500,6000,0,0,0,3000,0,0,0
2011-2012,Australian Commission for Law Enforcement Integrity,TRUE,No data,Attorney-General's,FALSE,20/07/2012 8:56,FALSE,0,4,4,5,4,1,0,0,0,0,0,0,0,0,5500,0,0,0,0,0,1500,0,0,0
2011-2012,Australian Crime Commission,TRUE,No data,Attorney-General's,FALSE,29/05/2012 15:16,FALSE,1,6,1130,0,156,5,0,0,0,2,20,0,0,0,0,0,0,0,0,0,2199,0,0,0
2011-2012,Australian Customs and Border Protection Service,TRUE,No data,Attorney-General's,FALSE,3/07/2012 11:59,FALSE,2,14,3765,118,766,121,25,0,0,15,10,0,6,4,827,0,0,0,0,0,0,0,0,0
2011-2012,Australian Federal Police,TRUE,No data,Attorney-General's,FALSE,12/07/2012 13:35,FALSE,7,381,14000,60,383,3064,33,0,1,70,1000,191,4044,3282,0,0,2420,0,41457,0,15166,0,0,0
2011-2012,Australian Human Rights Commission,TRUE,No data,Attorney-General's,FALSE,27/01/2012 12:12,FALSE,0,9,0,0,254,128,0,0,0,0,0,0,0,0,420,0,0,0,0,0,1995,0,0,0
2011-2012,Australian Institute of Criminology,TRUE,No data,Attorney-General's,FALSE,23/07/2012 15:29,FALSE,0,1,1,1,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
2011-2012,Australian Law Reform Commission,TRUE,No data,Attorney-General's,FALSE,2/07/2012 14:29,FALSE,0,3,16,2,8,4,0,0,0,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australian Transaction Reports and Analysis Centre (AUSTRAC),TRUE,No data,Attorney-General's,FALSE,1/08/2012 9:30,FALSE,2,5,3900,10,210,20,0,0,0,2,56,3,3,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Classification Board,TRUE,Attorney-General's Department,Attorney-General's,TRUE,2/08/2012 11:08,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Classification Review Board,TRUE,Attorney-General's Department,Attorney-General's,TRUE,2/08/2012 11:08,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Copyright Tribunal of Australia,TRUE,No data,Attorney-General's,TRUE,6/07/2012 15:16,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Criminology Research Council,FALSE,No data,Attorney-General's,TRUE,22/02/2012 11:37,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,CrimTrac,TRUE,No data,Attorney-General's,FALSE,13/07/2012 14:08,FALSE,1,45,1631,8,30,62,0,0,1,21,396,2,16,0,400,0,0,0,0,0,285,580,0,0
2011-2012,Defence Force Discipline Appeal Tribunal,TRUE,No data,Attorney-General's,TRUE,9/07/2012 9:11,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Family Court of Australia,TRUE,No data,Attorney-General's,FALSE,10/07/2012 13:59,FALSE,0,1,7,5,0,0,0,0,0,1,25,5,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Family Law Council,TRUE,No data,Attorney-General's,TRUE,27/07/2012 11:20,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Federal Court of Australia,TRUE,No data,Attorney-General's,FALSE,17/07/2012 16:37,FALSE,0,6,3,1,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
2011-2012,Federal Magistrates Court,TRUE,No data,Attorney-General's,TRUE,2/07/2012 11:56,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,High Court of Australia,TRUE,No data,Attorney-General's,FALSE,15/03/2012 15:52,FALSE,0,1,20,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Insolvency and Trustee Service Australia,TRUE,No data,Attorney-General's,FALSE,24/07/2012 9:40,FALSE,0,30,420,0,30,40,0,0,0,5,20,5,5,2,1200,50,0,0,0,0,500,0,0,0
2011-2012,Minister Assisting on Queensland Floods Recovery,TRUE,Attorney-General's Department,Attorney-General's,TRUE,2/08/2012 11:05,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Minister for Emergency Management,TRUE,Attorney-General's Department,Attorney-General's,TRUE,2/08/2012 11:07,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Minister for Home Affairs,TRUE,Attorney-General's Department,Attorney-General's,FALSE,2/08/2012 11:02,FALSE,0,2,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Minister for Justice,TRUE,Attorney-General's Department,Attorney-General's,TRUE,2/08/2012 11:07,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Minister for Privacy and Freedom of Information,FALSE,No data,Attorney-General's,TRUE,22/02/2012 12:23,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,National Native Title Tribunal,TRUE,No data,Attorney-General's,TRUE,20/07/2012 13:11,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Office of Parliamentary Counsel,TRUE,No data,Attorney-General's,FALSE,4/07/2012 11:45,FALSE,0,1,13,5,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Office of the Australian Information Commissioner,TRUE,No data,Attorney-General's,FALSE,2/02/2012 10:41,FALSE,0,10,152,15,15,8,0,0,0,26,119,6,21,0,0,0,0,0,0,0,0,0,0,3500
2011-2012,Office of the Commonwealth Director of Public Prosecutions,TRUE,No data,Attorney-General's,FALSE,11/05/2012 15:49,FALSE,0,19,175,40,65,50,0,0,0,4,20,15,20,0,950,120,0,0,12523,0,2803,0,0,0
2011-2012,Solicitor-General,TRUE,Attorney-General's Department,Attorney-General's,TRUE,2/08/2012 11:07,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australian Broadcasting Corporation,TRUE,No data,"Broadband, Communications and the Digital Economy",FALSE,31/07/2012 13:56,FALSE,0,23,0,3,50,8,0,0,0,2,7,0,20,0,0,0,0,0,0,0,1350,0,0,0
2011-2012,Australian Communications and Media Authority,TRUE,No data,"Broadband, Communications and the Digital Economy",FALSE,30/07/2012 11:35,FALSE,0,31,485,22,1248,325,0,0,0,4,70,10,50,30,84,0,0,0,0,0,1240,0,0,0
2011-2012,Australian Postal Corporation,TRUE,No data,"Broadband, Communications and the Digital Economy",FALSE,1/08/2012 9:51,FALSE,1,3,600,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,"Department of Broadband, Communications and the Digital Economy",TRUE,"Department of Broadband, Communications and the Digital Economy","Broadband, Communications and the Digital Economy",FALSE,25/07/2012 15:25,FALSE,3,147,5733,200,2102,0,8,8,1,26,138,0,732,0,2700,0,154609,0,0,0,22064,0,0,109716
2011-2012,Minister Assisting the Prime Minister on Digital Productivity,TRUE,"Department of Broadband, Communications and the Digital Economy","Broadband, Communications and the Digital Economy",TRUE,25/07/2012 15:24,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,"Minister for Broadband, Communications and the Digital Economy",TRUE,"Department of Broadband, Communications and the Digital Economy","Broadband, Communications and the Digital Economy",TRUE,25/07/2012 15:24,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,NBN Co Limited (ACN 136 533 741),TRUE,No data,"Broadband, Communications and the Digital Economy",FALSE,8/02/2012 9:36,FALSE,1,1,1602,0,155,16,0,0,1,1,283,0,144,52,746,0,1650,0,0,0,1650,0,0,0
2011-2012,Special Broadcasting Service Corporation,TRUE,No data,"Broadband, Communications and the Digital Economy",FALSE,19/07/2012 20:20,FALSE,0,1,45,0,0,0,0,0,0,1,1,0,0,0,10,0,0,0,0,0,0,0,0,0
2011-2012,Clean Energy Regulator,TRUE,No data,Climate Change and Energy Efficiency,FALSE,14/07/2012 18:09,FALSE,3,8,16,4,40,8,1,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Department of Climate Change and Energy Efficiency,TRUE,Department of Climate Change and Energy Efficiency,Climate Change and Energy Efficiency,FALSE,13/03/2012 14:35,FALSE,4,180,1440,180,1800,450,1,2,0,1,10,0,0,0,0,0,0,0,0,0,1780,0,0,0
2011-2012,Minister for Climate Change and Energy Efficiency,TRUE,Department of Climate Change and Energy Efficiency,Climate Change and Energy Efficiency,FALSE,14/07/2012 17:38,FALSE,0,2,10,1,10,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Office of the Renewable Energy Regulator,FALSE,No data,Climate Change and Energy Efficiency,FALSE,27/07/2012 18:09,TRUE,0,1,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Parliamentary Secretary for Climate Change and Energy Efficiency,TRUE,Department of Climate Change and Energy Efficiency,Climate Change and Energy Efficiency,TRUE,14/07/2012 17:43,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Department of Parliamentary Services,TRUE,No data,Commonwealth Parliament,FALSE,2/08/2012 8:21,FALSE,0,9,80,7,91,0,0,0,0,5,50,0,35,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Department of the House of Representatives,TRUE,No data,Commonwealth Parliament,FALSE,10/07/2012 16:49,FALSE,0,18,142,184,73,0,0,0,0,0,0,0,0,0,0,0,10536,0,0,0,0,0,0,0
2011-2012,Department of the Senate,TRUE,No data,Commonwealth Parliament,FALSE,13/07/2012 9:09,FALSE,0,1,0,8,0,0,0,0,3,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australian Defence Force Academy Consultative Council,FALSE,No data,Defence,TRUE,20/07/2012 9:57,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australian Defence Human Research Ethics Committee,TRUE,Department of Defence,Defence,TRUE,10/07/2012 11:03,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australian Military Forces Relief Trust Fund,TRUE,Department of Defence,Defence,TRUE,4/07/2012 16:26,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Defence Families of Australia,TRUE,Department of Defence,Defence,TRUE,10/07/2012 11:00,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Defence Housing Australia,TRUE,No data,Defence,FALSE,1/08/2012 9:59,FALSE,0,3,2,2,5,1,0,0,0,1,0,0,0,0,11300,0,0,0,0,0,0,0,0,0
2011-2012,Defence Reserves Support Council,TRUE,Department of Defence,Defence,TRUE,10/07/2012 11:00,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Department of Defence,TRUE,Department of Defence,Defence,FALSE,25/05/2012 8:03,FALSE,14,92,27300,350,15525,1200,100,0,0,10,500,120,150,75,9637,2500,168000,2933,0,0,142608,0,24670,0
2011-2012,Frontline Defence Services,TRUE,No data,Defence,TRUE,11/07/2012 14:01,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Minister for Defence,TRUE,Department of Defence,Defence,TRUE,5/07/2012 14:42,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Minister for Defence Materiel,TRUE,Department of Defence,Defence,TRUE,10/07/2012 11:04,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Minister for Defence Science and Personnel,TRUE,Department of Defence,Defence,TRUE,10/07/2012 11:04,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Parliamentary Secretary for Defence,TRUE,Department of Defence,Defence,TRUE,10/07/2012 11:05,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Royal Australian Air Force Veterans' Residences Trust Fund,TRUE,No data,Defence,TRUE,9/07/2012 12:58,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Royal Australian Air Force Welfare Trust Fund,TRUE,No data,Defence,TRUE,20/06/2012 9:23,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Royal Australian Navy Central Canteens Fund,TRUE,Department of Defence,Defence,TRUE,10/07/2012 11:02,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Royal Australian Navy Relief Trust Fund,TRUE,Department of Defence,Defence,TRUE,10/07/2012 11:01,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Accreditation Decisions Review Committee,FALSE,No data,"Education, Employment and Workplace Relations",TRUE,22/02/2012 11:22,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,"Australian Curriculum, Assessment and Reporting Authority",TRUE,No data,"Education, Employment and Workplace Relations",FALSE,3/07/2012 10:28,FALSE,0,3,346,0,72,0,0,0,0,5,114,0,43,38,0,0,8918,0,0,0,0,0,0,0
2011-2012,Australian National University,TRUE,No data,"Education, Employment and Workplace Relations",FALSE,2/07/2012 10:23,FALSE,0,3,191,35,160,50,0,0,0,2,6,0,0,0,178,0,0,0,17080,0,1160,0,3600,0
2011-2012,Coal Mining Industry (Long Service Leave Funding) Corporation,TRUE,"Department of Education, Employment and Workplace Relations","Education, Employment and Workplace Relations",FALSE,11/07/2012 15:16,FALSE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Comcare,TRUE,Comcare,"Education, Employment and Workplace Relations",FALSE,6/07/2012 11:45,FALSE,1,120,1800,10,300,520,0,0,1,5,37,0,3,1,1100,0,0,0,0,0,6000,0,2200,0
2011-2012,"Department of Education, Employment and Workplace Relations",TRUE,"Department of Education, Employment and Workplace Relations","Education, Employment and Workplace Relations",FALSE,27/01/2012 12:12,FALSE,14,2,20038,470,1454,912,0,0,1,72,1800,578,3151,6,15467,0,7401,12542,0,0,15583,0,926,0
2011-2012,Fair Work Australia,TRUE,No data,"Education, Employment and Workplace Relations",FALSE,16/07/2012 12:08,FALSE,2,7,797,0,25,8,0,0,0,0,0,0,2,0,19744,0,8676,0,0,0,518,0,0,0
2011-2012,Fair Work Ombudsman,TRUE,No data,"Education, Employment and Workplace Relations",FALSE,18/06/2012 10:09,FALSE,2,20,4624,10,56,56,0,0,0,6,5,0,4,8,0,0,7768,0,0,0,14507,0,0,0
2011-2012,Minister Assisting for School Education,FALSE,No data,"Education, Employment and Workplace Relations",TRUE,4/04/2012 17:57,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Minister for Early Childhood and Childcare,TRUE,"Department of Education, Employment and Workplace Relations","Education, Employment and Workplace Relations",TRUE,4/04/2012 18:01,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Minister for Employment and Workplace Relations,TRUE,"Department of Education, Employment and Workplace Relations","Education, Employment and Workplace Relations",FALSE,11/07/2012 15:37,FALSE,0,2,34,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,728,0,0,0
2011-2012,Minister for Employment Participation,TRUE,"Department of Education, Employment and Workplace Relations","Education, Employment and Workplace Relations",FALSE,19/07/2012 11:01,FALSE,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Minister for Employment Participation and Childcare,FALSE,No data,"Education, Employment and Workplace Relations",TRUE,22/02/2012 11:43,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Minister for Indigenous Employment and Economic Development,TRUE,"Department of Education, Employment and Workplace Relations","Education, Employment and Workplace Relations",TRUE,22/02/2012 11:45,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,"Minister for School Education, Early Childhood and Youth",TRUE,"Department of Education, Employment and Workplace Relations","Education, Employment and Workplace Relations",FALSE,30/07/2012 13:46,FALSE,0,1,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,"Minister for Tertiary Education, Skills, Jobs & Workplace Relations",FALSE,No data,"Education, Employment and Workplace Relations",TRUE,22/02/2012 9:27,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Office of the Australian Building and Construction Commissioner,FALSE,No data,"Education, Employment and Workplace Relations",FALSE,14/11/2011 17:27,TRUE,0,3,40,5,120,10,0,0,0,3,40,5,20,10,0,0,146896,0,0,0,0,0,0,0
2011-2012,Office of the Fair Work Building Industry Inspectorate ,TRUE,No data,"Education, Employment and Workplace Relations",TRUE,18/07/2012 13:32,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Parliamentary Secretary for School Education and Workplace Relations,TRUE,"Department of Education, Employment and Workplace Relations","Education, Employment and Workplace Relations",TRUE,30/07/2012 10:36,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Safe Work Australia,TRUE,No data,"Education, Employment and Workplace Relations",FALSE,3/07/2012 9:44,FALSE,0,4,39,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,285,0,0,0
2011-2012,"Safety, Rehabilitation and Compensation Commission",TRUE,Comcare,"Education, Employment and Workplace Relations",TRUE,17/07/2012 14:15,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,"Seafarers Safety, Rehabilitation and Compensation (Seacare) Authority",TRUE,Comcare,"Education, Employment and Workplace Relations",TRUE,17/07/2012 14:14,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,The Tertiary Education Quality and Standards Agency,TRUE,No data,"Education, Employment and Workplace Relations",FALSE,17/07/2012 9:52,FALSE,0,10,590,3,3,0,0,0,0,3,8,3,0,0,250,125,0,0,0,0,0,0,0,0
2011-2012,Aboriginal Benefit Account Advisory Committee,TRUE,No data,"Families, Housing, Community Services & Indigenous Affairs",TRUE,6/07/2012 10:24,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Aboriginal Hostels Limited,TRUE,No data,"Families, Housing, Community Services & Indigenous Affairs",FALSE,27/01/2012 12:12,FALSE,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-2012,"Dept of Families, Housing, Community Services and Indigenous Affairs",TRUE,"Dept of Families, Housing, Community Services and Indigenous Affairs","Families, Housing, Community Services & Indigenous Affairs",FALSE,30/07/2012 15:21,FALSE,4,182,6655,520,1335,104,22,14,0,34,95,2,81,0,1082,0,0,0,0,0,4290,0,400,0
2011-2012,Equal Opportunity for Women in the Workplace Agency,TRUE,No data,"Families, Housing, Community Services & Indigenous Affairs",FALSE,22/02/2012 9:49,FALSE,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4870,0,0,0,0,0,0,0
2011-2012,Indigenous Business Australia,TRUE,No data,"Families, Housing, Community Services & Indigenous Affairs",FALSE,3/07/2012 14:50,FALSE,0,5,0,1,3,1,0,0,0,10,0,3,6,1,0,0,20000,0,0,0,0,0,500,0
2011-2012,Indigenous Land Corporation,TRUE,No data,"Families, Housing, Community Services & Indigenous Affairs",FALSE,17/07/2012 10:44,FALSE,0,1,8,0,0,2,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0
2011-2012,Minister for Community Services,TRUE,"Dept of Families, Housing, Community Services and Indigenous Affairs","Families, Housing, Community Services & Indigenous Affairs",TRUE,30/07/2012 15:49,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Minister for Disability Reform,TRUE,"Dept of Families, Housing, Community Services and Indigenous Affairs","Families, Housing, Community Services & Indigenous Affairs",TRUE,30/07/2012 15:27,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
