Report year,Agency name,Is agency active,Administrating Agency Name,Portfolio,Nil return,Date created,Last return by agency,Staff spending 75 per cent plus time on FOI,Staff spending more than 0 less than 75 per cent time on FOI,Estimated APS staff hours where normal duties include FOI,Estimated SES staff hours where normal duties include FOI,Estimated staff hours APS 6 and EL1 to 2 involved in FOI,Estimated staff hours APS 1 to 5 involved in FOI,Estimated staff hours ministers and advisers involved in FOI,Estimated staff hours other ministerial staff involved in FOI,Staff spending 75 per cent time plus on IPS,Staff spending more than 0 less than 75 per cent time on IPS,Estimated APS staff hours where normal duties include IPS,Estimated SES staff hours where normal duties include IPS,Estimated staff hours APS 6 and EL1 to 2 involved in IPS,Estimated staff hours APS 1 to 5 involved in IPS,Admin costs FOI AUD,Admin costs IPS AUD,Legal costs FOI AUD,Legal costs IPS AUD,Litigation costs FOI AUD,Litigation costs IPS AUD,Training Costs FOI AUD,Training Costs IPS AUD,Other costs FOI AUD,Other costs IPS AUS
2015-2016,Administrative Appeals Tribunal,TRUE,No data,Attorney-General's,FALSE,11/11/2015 12:45,FALSE,2,112,4358,14,0,620,0,0,0,6,28,0,0,3,11989,0,0,0,0,0,0,0,0,0
2015-2016,Administrative Review Council,TRUE,No data,Attorney-General's,TRUE,21/03/2016 13:07,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Admiralty Rules Committee,TRUE,Attorney-General's Department,Attorney-General's,TRUE,11/07/2016 16:46,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Attorney-General,TRUE,Attorney-General's Department,Attorney-General's,FALSE,02/08/2016 13:30,FALSE,0,16,0,0,0,0,188,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Attorney-General's Department,TRUE,Attorney-General's Department,Attorney-General's,FALSE,01/02/2016 17:11,FALSE,5,280,7060,238,984,656,0,0,0,6,0,0,18,12,2615,0,0,0,237313,0,580,0,0,0
2015-2016,Australia Council for the Arts,TRUE,No data,Attorney-General's,FALSE,14/07/2016 13:38,FALSE,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Australian Commission for Law Enforcement Integrity,TRUE,No data,Attorney-General's,FALSE,27/07/2016 7:33,FALSE,0,5,122,0,5,0,0,0,0,3,23,0,4,0,0,0,6257,0,0,0,0,0,0,0
2015-2016,Australian Crime Commission,TRUE,No data,Attorney-General's,FALSE,12/02/2016 15:15,TRUE,1,5,1800,38,54,5,0,0,0,0,0,0,0,0,0,0,0,0,50333,0,3680,0,0,0
2015-2016,Australian Federal Police,TRUE,No data,Attorney-General's,FALSE,13/07/2016 9:14,FALSE,8,500,12535,1100,3500,7000,0,0,0,20,800,35,120,120,10936,0,0,0,82400,0,14102,0,0,0
2015-2016,Australian Financial Security Authority,TRUE,No data,Attorney-General's,FALSE,18/07/2016 11:54,FALSE,0,20,600,5,20,20,0,0,0,2,5,0,1,0,2000,0,0,0,95000,0,1000,0,0,0
2015-2016,Australian Human Rights Commission,TRUE,No data,Attorney-General's,FALSE,24/12/2015 11:20,FALSE,0,5,6,0,258,21,0,0,0,0,0,0,0,0,979,0,0,0,0,0,0,0,0,0
2015-2016,Australian Institute of Criminology,TRUE,No data,Attorney-General's,FALSE,28/07/2016 10:16,FALSE,0,3,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Australian Law Reform Commission,TRUE,No data,Attorney-General's,TRUE,11/07/2016 15:17,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Australian National Maritime Museum,TRUE,No data,Attorney-General's,TRUE,12/07/2016 14:52,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Australian Transaction Reports and Analysis Centre (AUSTRAC),TRUE,No data,Attorney-General's,FALSE,18/07/2016 11:36,FALSE,3,1,4500,0,50,0,0,0,0,0,0,0,0,0,2440,0,0,0,0,0,1350,0,0,0
2015-2016,CrimTrac,TRUE,No data,Attorney-General's,FALSE,02/08/2016 12:13,TRUE,0,3,260,15,20,3,0,0,0,3,10,0,0,0,0,0,0,0,0,0,2025,0,0,0
2015-2016,Defence Force Discipline Appeal Tribunal,TRUE,No data,Attorney-General's,TRUE,20/07/2016 10:02,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Family Court of Australia,TRUE,No data,Attorney-General's,FALSE,12/07/2016 14:20,FALSE,0,1,60,0,0,0,0,5,0,1,1,0,0,0,10,0,0,0,0,0,0,0,0,0
2015-2016,Family Law Council,TRUE,No data,Attorney-General's,TRUE,19/07/2016 16:15,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Federal Circuit Court of Australia,TRUE,No data,Attorney-General's,FALSE,29/07/2016 9:11,FALSE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Federal Court of Australia,TRUE,No data,Attorney-General's,FALSE,03/08/2016 13:32,FALSE,0,6,0,150,15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,High Court of Australia,TRUE,No data,Attorney-General's,FALSE,02/08/2016 16:56,FALSE,1,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Immigration Assessment Authority,TRUE,No data,Attorney-General's,FALSE,20/07/2016 18:37,FALSE,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1840,0,0,0
2015-2016,Minister for Justice,TRUE,Attorney-General's Department,Attorney-General's,FALSE,01/08/2016 16:26,FALSE,0,9,0,0,0,0,38,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,National Archives of Australia,TRUE,No data,Attorney-General's,FALSE,08/07/2016 13:03,FALSE,0,18,100,1,37,16,0,0,0,6,15,0,3,2,100,0,0,0,0,0,0,0,0,0
2015-2016,National Film and Sound Archive of Australia,TRUE,No data,Attorney-General's,FALSE,15/07/2016 17:30,FALSE,0,3,53,19,1,2,0,0,0,4,2,0,1,1,0,0,7209,0,0,0,0,0,531,0
2015-2016,National Native Title Tribunal,TRUE,No data,Attorney-General's,FALSE,18/07/2016 18:26,FALSE,0,9,49,51,6,5,0,0,0,1,0,0,10,0,0,0,8617,0,0,0,0,0,0,0
2015-2016,Office of Parliamentary Counsel,TRUE,No data,Attorney-General's,FALSE,26/07/2016 14:32,FALSE,0,2,20,10,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Office of the Australian Information Commissioner,TRUE,No data,Attorney-General's,FALSE,11/09/2015 16:47,FALSE,0,17,325,40,80,15,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0
2015-2016,Office of the Commonwealth Director of Public Prosecutions,TRUE,No data,Attorney-General's,FALSE,28/06/2016 10:53,FALSE,0,35,285,15,17,85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Parliamentary Secretary to the Attorney-General ,FALSE,No data,Attorney-General's,TRUE,12/07/2016 10:14,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Solicitor-General,TRUE,Attorney-General's Department,Attorney-General's,TRUE,26/07/2016 15:43,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Australian Broadcasting Corporation,TRUE,No data,Communications and the Arts,FALSE,01/08/2016 13:42,FALSE,0,2,299,4,0,27,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Australian Communications and Media Authority,TRUE,No data,Communications and the Arts,FALSE,28/07/2016 11:56,FALSE,0,31,759,21,2747,0,0,0,0,2,4,0,0,4,235,0,0,0,0,0,2000,0,0,0
2015-2016,"Australian Film, Television and Radio School",TRUE,No data,Communications and the Arts,TRUE,04/07/2016 10:31,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Australian Postal Corporation,TRUE,No data,Communications and the Arts,FALSE,01/07/2016 13:06,FALSE,1,1,1300,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Classification Board,TRUE,Department of Communications and the Arts,Communications and the Arts,TRUE,01/08/2016 16:17,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Classification Review Board,TRUE,Department of Communications and the Arts,Communications and the Arts,TRUE,01/08/2016 16:18,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Copyright Tribunal of Australia,TRUE,No data,Communications and the Arts,TRUE,30/06/2016 15:55,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Department of Communications and the Arts,TRUE,Department of Communications and the Arts,Communications and the Arts,FALSE,26/07/2016 8:04,FALSE,1,152,7865,150,1254,1,20,20,0,1,56,0,0,0,0,0,0,0,0,0,675,0,0,0
2015-2016,Film Certification Advisory Board,TRUE,Department of Communications and the Arts,Communications and the Arts,TRUE,01/08/2016 16:29,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Minister for Communications,TRUE,Minister for Communications,Communications and the Arts,FALSE,03/08/2016 17:01,FALSE,0,2,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Minister for Regional Communications,TRUE,No data,Communications and the Arts,TRUE,01/07/2016 15:18,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Minister for the Arts,TRUE,Minister for Communications,Communications and the Arts,TRUE,03/08/2016 13:26,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Museum of Australian Democracy,TRUE,No data,Communications and the Arts,FALSE,07/01/2016 10:17,FALSE,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,National Gallery of Australia,TRUE,No data,Communications and the Arts,FALSE,11/07/2016 12:53,FALSE,0,1,0,0,1,0,0,0,0,1,0,0,0,0,200,0,0,0,0,0,0,0,0,0
2015-2016,National Library of Australia,TRUE,No data,Communications and the Arts,FALSE,20/07/2016 9:35,FALSE,0,7,40,20,35,0,0,0,0,0,0,0,0,0,0,0,2294,0,0,0,0,0,0,0
2015-2016,National Museum of Australia,TRUE,No data,Communications and the Arts,FALSE,19/07/2016 10:35,FALSE,0,1,1,0,0,0,0,0,0,7,99,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,National Portrait Gallery of Australia,TRUE,No data,Communications and the Arts,TRUE,05/07/2016 11:16,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,NBN Co Limited (ACN 136 533 741),TRUE,No data,Communications and the Arts,FALSE,21/04/2016 9:49,FALSE,0,3,1000,255,0,88,0,0,0,2,72,0,0,0,0,0,780,0,0,0,0,0,0,0
2015-2016,Parliamentary Secretary to the Minister for Communications,FALSE,No data,Communications and the Arts,TRUE,14/07/2016 14:00,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Public Lending Right Committee,TRUE,Department of Communications and the Arts,Communications and the Arts,TRUE,01/08/2016 16:19,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Screen Australia,TRUE,No data,Communications and the Arts,FALSE,11/07/2016 10:22,FALSE,0,6,0,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Special Broadcasting Service Corporation,TRUE,No data,Communications and the Arts,FALSE,20/07/2016 16:44,FALSE,0,1,60,0,20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1402,0
2015-2016,Army and Air Force Canteen Service,TRUE,No data,Defence,TRUE,05/07/2016 15:07,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Assistant Minister for Defence,FALSE,No data,Defence,TRUE,28/06/2016 9:42,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Australian Defence Human Research Ethics Committee,TRUE,Department of Defence,Defence,TRUE,22/10/2015 15:30,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Australian Military Forces Relief Trust Fund,TRUE,Department of Defence,Defence,FALSE,08/10/2015 9:46,FALSE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Australian War Memorial,TRUE,No data,Defence,FALSE,28/07/2016 13:05,FALSE,0,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Defence Families of Australia,TRUE,Department of Defence,Defence,TRUE,01/07/2016 9:13,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Defence Housing Australia,TRUE,No data,Defence,FALSE,15/07/2016 15:09,FALSE,1,1,1100,0,0,0,0,0,0,1,100,0,0,0,500,0,0,0,0,0,0,0,0,0
2015-2016,Defence Reserves Support Council,TRUE,Department of Defence,Defence,TRUE,01/07/2016 9:15,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Department of Defence,TRUE,Department of Defence,Defence,FALSE,01/07/2016 9:41,FALSE,17,101,21733,500,3437,648,200,0,0,5,180,0,0,0,8218,0,90031,0,0,0,55927,0,0,0
2015-2016,Department of Veterans' Affairs,TRUE,Department of Veterans' Affairs,Defence,FALSE,12/07/2016 15:51,FALSE,6,11,11172,72,97,13115,0,0,0,1,10,0,0,0,33380,0,19897,0,0,0,2000,0,0,0
2015-2016,Military Rehabilitation and Compensation Commission,TRUE,Department of Veterans' Affairs,Defence,TRUE,12/07/2016 16:58,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Minister Assisting the Prime Minister for the Centenary of ANZAC,TRUE,Department of Veterans' Affairs,Defence,TRUE,12/07/2016 17:00,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Minister for Defence,TRUE,Department of Defence,Defence,FALSE,28/06/2016 9:41,FALSE,0,3,100,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0
2015-2016,Minister for Defence Industry,TRUE,Department of Defence,Defence,TRUE,04/07/2016 15:02,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Minister for Defence Materiel and Science,FALSE,Department of Defence,Defence,TRUE,13/04/2016 9:29,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Minister for Defence Personnel,TRUE,Department of Defence,Defence,TRUE,28/06/2016 9:43,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Minister for Veterans' Affairs,TRUE,Department of Veterans' Affairs,Defence,TRUE,15/07/2016 15:46,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Parliamentary Sec to the Minister for Defence,FALSE,No data,Defence,TRUE,05/08/2016 14:26,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Parliamentary Secretary to the Minister for Defence,FALSE,Department of Defence,Defence,TRUE,26/10/2015 16:15,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Repatriation Commission,TRUE,Department of Veterans' Affairs,Defence,TRUE,05/07/2016 9:24,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Repatriation Medical Authority,TRUE,No data,Defence,TRUE,04/07/2016 18:32,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Royal Australian Air Force Veterans' Residences Trust Fund,TRUE,No data,Defence,TRUE,04/07/2016 15:47,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Royal Australian Air Force Welfare Trust Fund,TRUE,No data,Defence,TRUE,01/07/2016 10:41,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Royal Australian Navy Central Canteens Board,TRUE,Department of Defence,Defence,TRUE,01/07/2016 9:20,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Royal Australian Navy Relief Trust Fund,TRUE,Department of Defence,Defence,TRUE,01/07/2016 9:18,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Specialist Medical Review Council,TRUE,No data,Defence,FALSE,08/07/2016 13:35,FALSE,0,0,40,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Veterans' Review Board,TRUE,No data,Defence,FALSE,03/06/2016 9:36,FALSE,0,1,14,0,1,0,0,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Assistant Minister for Education and Training,FALSE,No data,Education and Training,TRUE,05/07/2016 10:19,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Assistant Minister for Vocational Education and Skills,TRUE,Department of Education and Training,Education and Training,TRUE,05/07/2016 10:17,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,"Australian Curriculum, Assessment and Reporting Authority",TRUE,No data,Education and Training,FALSE,19/07/2016 14:06,FALSE,0,5,332,25,88,2,0,0,0,3,0,0,0,1,0,0,897,0,0,0,0,0,0,0
2015-2016,Australian Institute of Aboriginal and Torres Strait Islander Studies,TRUE,No data,Education and Training,TRUE,04/08/2016 16:46,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Australian National University,TRUE,No data,Education and Training,FALSE,12/07/2016 10:44,FALSE,0,4,292,65,220,20,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Australian Research Council,TRUE,No data,Education and Training,FALSE,02/08/2016 11:47,FALSE,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Department of Education and Training,TRUE,Department of Education and Training,Education and Training,FALSE,05/07/2016 11:31,FALSE,6,1,9108,117,449,46,0,0,0,3,26,0,0,0,1229,0,0,0,0,0,0,0,0,0
2015-2016,Minister for Education and Training,TRUE,Department of Education and Training,Education and Training,FALSE,05/07/2016 11:32,FALSE,0,2,71,3,8,0,5,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
2015-2016,Minister for Tourism and International Education,FALSE,No data,Education and Training,TRUE,12/07/2016 9:11,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Parliamentary Secretary to the Minister for Education and Training,FALSE,No data,Education and Training,TRUE,05/07/2016 10:20,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Tertiary Education Quality and Standards Agency,TRUE,No data,Education and Training,FALSE,20/07/2016 14:15,FALSE,0,13,70,0,48,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Asbestos Safety and Eradication Agency,TRUE,No data,Employment,TRUE,04/07/2016 16:43,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Assistant Minister for Employment,FALSE,No data,Employment,TRUE,22/10/2015 15:19,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Coal Mining Industry (Long Service Leave Funding) Corporation,TRUE,Department of Employment,Employment,TRUE,22/07/2016 9:39,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Comcare,TRUE,Comcare,Employment,FALSE,22/07/2016 12:52,FALSE,3,35,3980,325,2205,850,0,0,0,1,1000,0,10,0,1458,25,52899,0,0,0,4960,0,12185,0
2015-2016,Department of Employment,TRUE,Department of Employment,Employment,FALSE,15/04/2016 15:54,FALSE,10,3,14074,204,797,648,0,0,0,3,26,0,0,0,6342,0,0,0,0,0,12644,0,0,0
2015-2016,Fair Work Commission,TRUE,Fair Work Commission,Employment,FALSE,07/07/2016 15:30,FALSE,1,7,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,3084,0,0,0,1840,0,0,0
2015-2016,Fair Work Ombudsman,TRUE,No data,Employment,FALSE,01/07/2016 9:45,FALSE,3,2,6620,90,300,300,0,0,0,0,40,0,0,0,1570,0,775,0,0,0,2000,0,0,0
2015-2016,Minister for Employment,TRUE,Department of Employment,Employment,FALSE,12/07/2016 10:00,FALSE,0,3,72,4,2,2,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Office of the Fair Work Building Industry Inspectorate ,TRUE,No data,Employment,FALSE,20/04/2016 15:15,FALSE,1,1,2,2,6,4,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1350,0,0,0
2015-2016,Road Safety Remuneration Tribunal,TRUE,Fair Work Commission,Employment,TRUE,07/07/2016 15:23,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Safe Work Australia,TRUE,No data,Employment,FALSE,21/07/2016 12:21,FALSE,0,9,100,40,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,"Safety, Rehabilitation and Compensation Commission",TRUE,Comcare,Employment,TRUE,28/07/2016 10:34,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,"Seafarers Safety, Rehabilitation and Compensation (Seacare) Authority",TRUE,Comcare,Employment,TRUE,28/07/2016 10:34,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Workplace Gender Equality Agency,TRUE,No data,Employment,FALSE,05/07/2016 12:26,FALSE,0,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Australian Heritage Council,TRUE,Department of the Environment,Environment,TRUE,28/07/2016 12:04,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Bureau of Meteorology,TRUE,No data,Environment,FALSE,03/08/2016 16:16,FALSE,1,20,247,39,50,2,0,0,0,2,5,0,0,0,27070,292,6489,0,0,0,0,0,0,0
2015-2016,Clean Energy Finance Corporation,TRUE,No data,Environment,FALSE,08/06/2016 16:22,FALSE,0,10,25,3,0,0,0,0,0,6,15,0,0,0,400,400,0,0,0,0,1143,0,0,0
2015-2016,Clean Energy Regulator,TRUE,No data,Environment,FALSE,06/07/2016 14:51,FALSE,0,20,160,10,12,13,0,0,0,10,15,0,2,0,0,0,0,0,0,0,0,0,0,0
