Report year,Quarter,Agency,Is agency active,Administrating agency name,Portfolio,Nil return,Last return by agency,Date created,Personal requests received from applicants,Other requests received from applicants,Personal requests on transfer,Other requests on transfer,Personal requests on hand 1 July 2011,Other requests on hand 1 July 2011 ,Personal requests granted in full,Other requests granted in full,Personal requests granted in part,Other requests granted in part,Personal requests refused,Other requests refused,Personal requests transferred,Other requests transferred,Personal requests withdrawn,Other requests withdrawn,Personal requests responded to in time,Other requests responded to in time,Personal requests responded to up to 30 days out of time,Other requests responded to up to 30 days out of time,Personal requests responded to 31 to 60 days out of time,Other requests responded to 31 to 60 days out of time,Personal requests responded to 61 to 90 days out of time,Other requests responded to 61 to 90 days out of time,Personal requests responded to over 90 days out of time,Other requests responded to over 90 days out of time,Personal requests where charges notified,Other requests where charges notified,Total charges notified for personal requests AUD,Total charges notified for other requests AUD,Total charges collected for personal requests AUD,Total charges collected for other requests AUD,Internal review applications for personal requests,Internal review applications for other requests,Internal review decisions affirmed for personal requests,Internal review decisions affirmed for other requests,Internal review access granted in full for personal requests,Internal review access granted in full for other requests,Internal review access granted in part for personal requests,Internal review access granted in part for other requests,Internal review access grant after deferment personal requests,Internal review access grant after deferment  other requests,Internal review access grant in another form personal requests,Internal review access grant in another form other requests,Internal review charges reduced for personal requests,Internal review charges reduced for other requests,Internal review personal requests withdrawn without concession,Internal review other requests withdrawn without concession,s 48 requests received,s 48 requests responded to in time,s 48 requests responded to up to 30 days out of time,s 48 requests responded to over 30 days out of time,s 48 request granted record altered,s 48 request granted record notated,s 48 request granted record altered and notated,s 48 requests refused,s 48 internal review applications,s 48 internal review granted record altered,s 48 internal review granted record notated,s 48 internal review granted record altered and notated,s 48 internal review application refused,Practical refusal notification personal request,Practical refusal notification other request,Practical refusal subsequently processed personal request,Practical refusal subequently processed other request,Personal requests where no exemption claimed,Other requests where no exemptions claimed,Personal requests where s 33 claimed,Other requests where s 33 claimed,Personal requests where s 34 claimed,Other requests where s 34 claimed,Personal requests where s 37 claimed,Other requests where s 37 claimed,Personal requests where s 38 claimed,Other requests where s 38 claimed,Personal requests where s 42 claimed,Other requests where s 42 claimed,Personal requests where s 45 claimed,Other requests where s 45 claimed,Personal requests where s 46 claimed,Other requests where s 46 claimed,Personal requests where s 47 claimed,Other requests where s 47 claimed,Personal requests where s 47A claimed,Other requests where s 47A claimed,Personal requests where s 47B claimed,Other requests where s 47B claimed,Personal requests where s 47C claimed,Other requests where s 47C claimed,Personal requests where s 47D claimed,Other requests where s 47D claimed,Personal requests where s 47E claimed,Other requests where s 47E claimed,Personal requests where s 47F claimed,Other requests where s 47F claimed,Personal requests where s 47G claimed,Other requests where s 47G claimed,Personal requests where s 47H claimed,Other requests where s 47H claimed,Personal requests where s 47J claimed,Other requests where s 47J claimed
2011-2012,3,Cotton Research and Development Corporation,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,10/11/2011 16:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,4,Cotton Research and Development Corporation,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,20/01/2012 9:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,1,"Department of Agriculture, Fisheries and Forestry",TRUE,"Department of Agriculture, Fisheries and Forestry","Agriculture, Fisheries and Forestry",FALSE,FALSE,18/10/2011 11:05,5,48,0,0,12,12,0,4,2,13,0,8,0,0,14,25,2,25,0,0,0,0,0,0,0,0,2,17,400,10646,40,3166,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,12,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,5,0,0,0,0,0,0
2011-2012,2,"Department of Agriculture, Fisheries and Forestry",TRUE,"Department of Agriculture, Fisheries and Forestry","Agriculture, Fisheries and Forestry",FALSE,FALSE,4/01/2012 9:24,0,13,0,0,0,0,1,2,0,4,0,0,0,0,0,12,1,6,0,0,0,0,0,0,0,0,0,6,0,2496,0,762,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0
2011-2012,3,"Department of Agriculture, Fisheries and Forestry",TRUE,"Department of Agriculture, Fisheries and Forestry","Agriculture, Fisheries and Forestry",FALSE,FALSE,2/04/2012 11:18,0,17,0,1,0,0,0,0,0,7,0,2,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,4442,0,1075,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0
2011-2012,4,"Department of Agriculture, Fisheries and Forestry",TRUE,"Department of Agriculture, Fisheries and Forestry","Agriculture, Fisheries and Forestry",FALSE,FALSE,17/07/2012 9:35,1,20,0,0,0,0,0,0,0,5,0,2,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,7,0,6074,0,3380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0
2011-2012,1,Fisheries Research and Development Corporation,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,10/11/2011 14:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,2,Fisheries Research and Development Corporation,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,23/01/2012 12:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,3,Fisheries Research and Development Corporation,TRUE,No data,"Agriculture, Fisheries and Forestry",FALSE,FALSE,24/04/2012 12:58,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1250,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,4,Fisheries Research and Development Corporation,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,6/07/2012 10:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,1,Grains Research and Development Corporation,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,14/10/2011 10:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,2,Grains Research and Development Corporation,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,16/01/2012 14:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,3,Grains Research and Development Corporation,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,16/04/2012 16:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,4,Grains Research and Development Corporation,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,17/07/2012 15:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,1,Grape and Wine Research and Development Corporation,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,22/02/2012 14:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,2,Grape and Wine Research and Development Corporation,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,2/05/2012 16:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,3,Grape and Wine Research and Development Corporation,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,2/05/2012 16:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,4,Grape and Wine Research and Development Corporation,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,20/07/2012 10:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,1,"Minister for Agriculture, Fisheries and Forestry",TRUE,"Department of Agriculture, Fisheries and Forestry","Agriculture, Fisheries and Forestry",TRUE,FALSE,26/10/2011 12:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,2,"Minister for Agriculture, Fisheries and Forestry",TRUE,"Department of Agriculture, Fisheries and Forestry","Agriculture, Fisheries and Forestry",TRUE,FALSE,11/07/2012 7:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,3,"Minister for Agriculture, Fisheries and Forestry",TRUE,"Department of Agriculture, Fisheries and Forestry","Agriculture, Fisheries and Forestry",TRUE,FALSE,11/07/2012 7:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,4,"Minister for Agriculture, Fisheries and Forestry",TRUE,"Department of Agriculture, Fisheries and Forestry","Agriculture, Fisheries and Forestry",TRUE,FALSE,11/07/2012 7:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,1,National Rural Advisory Council,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,20/10/2011 14:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,2,National Rural Advisory Council,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,20/02/2012 13:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,3,National Rural Advisory Council,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,19/04/2012 12:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,4,National Rural Advisory Council,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,15/06/2012 11:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,1,"Parliamentary Secretary for Agriculture, Fisheries and Forestry",TRUE,"Department of Agriculture, Fisheries and Forestry","Agriculture, Fisheries and Forestry",TRUE,FALSE,26/10/2011 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,2,"Parliamentary Secretary for Agriculture, Fisheries and Forestry",TRUE,"Department of Agriculture, Fisheries and Forestry","Agriculture, Fisheries and Forestry",TRUE,FALSE,11/07/2012 7:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,3,"Parliamentary Secretary for Agriculture, Fisheries and Forestry",TRUE,"Department of Agriculture, Fisheries and Forestry","Agriculture, Fisheries and Forestry",TRUE,FALSE,11/07/2012 7:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
