Report year,Agency name,Is agency active,Administrating Agency Name,Portfolio,Nil return,Date created,Last return by agency,Staff spending 75 per cent plus time on FOI,Staff spending more than 0 less than 75 per cent time on FOI,Estimated APS staff hours where normal duties include FOI,Estimated SES staff hours where normal duties include FOI,Estimated staff hours APS 6 and EL1 to 2 involved in FOI,Estimated staff hours APS 1 to 5 involved in FOI,Estimated staff hours ministers and advisers involved in FOI,Estimated staff hours other ministerial staff involved in FOI,Staff spending 75 per cent time plus on IPS,Staff spending more than 0 less than 75 per cent time on IPS,Estimated APS staff hours where normal duties include IPS,Estimated SES staff hours where normal duties include IPS,Estimated staff hours APS 6 and EL1 to 2 involved in IPS,Estimated staff hours APS 1 to 5 involved in IPS,Admin costs FOI AUD,Admin costs IPS AUD,Legal costs FOI AUD,Legal costs IPS AUD,Litigation costs FOI AUD,Litigation costs IPS AUD,Training costs FOI AUD,Training costs IPS AUD,Other costs FOI AUD,Other costs IPS AUD
2013-2014,Screen Australia,TRUE,No data,Attorney-General's,FALSE,1/07/2014 9:36,FALSE,0,2,40,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1350,0,0,0
2013-2014,Solicitor-General,TRUE,Attorney-General's Department,Attorney-General's,TRUE,31/07/2014 0:19,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Australian Broadcasting Corporation,TRUE,No data,Communications,FALSE,30/07/2014 23:23,FALSE,0,1,180,15,75,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Australian Communications and Media Authority,TRUE,No data,Communications,FALSE,29/07/2014 10:25,FALSE,0,34,387,30,459,1,0,0,0,3,35,0,5,10,10,0,0,0,0,0,0,0,0,0
2013-2014,Australian Postal Corporation,TRUE,No data,Communications,FALSE,28/07/2014 11:27,FALSE,0,2,900,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Department of Communications,TRUE,Department of Communications,Communications,FALSE,10/07/2014 11:14,FALSE,2,101,4520,189,1962,0,4,4,0,2,113,0,0,0,1000,0,0,0,0,0,0,0,0,0
2013-2014,Minister for Communications,TRUE,Department of Communications,Communications,TRUE,31/07/2014 0:00,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,NBN Co Limited (ACN 136 533 741),TRUE,No data,Communications,FALSE,15/07/2014 9:47,FALSE,1,1,2125,0,350,35,0,0,1,1,375,0,144,48,0,0,8816,0,0,0,0,0,0,0
2013-2014,Parliamentary Secretary to the Minister for Communications,TRUE,Department of Communications,Communications,TRUE,28/07/2014 8:35,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Special Broadcasting Service Corporation,TRUE,No data,Communications,FALSE,31/07/2014 0:19,FALSE,0,1,147,0,88,56,0,0,0,0,0,0,0,0,22954,0,14283,0,0,0,1375,0,0,0
2013-2014,Telecommunications Universal Service Management Agency ,TRUE,No data,Communications,TRUE,8/10/2013 9:33,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Army and Air Force Canteen Service,TRUE,No data,Defence,TRUE,8/07/2014 14:02,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Assistant Minister for Defence,TRUE,Department of Defence,Defence,TRUE,1/07/2014 14:30,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Australian Defence Human Research Ethics Committee,TRUE,Department of Defence,Defence,TRUE,1/07/2014 14:08,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Australian Military Forces Relief Trust Fund,TRUE,Department of Defence,Defence,FALSE,18/07/2014 11:29,FALSE,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Australian War Memorial,TRUE,No data,Defence,FALSE,23/07/2014 15:29,FALSE,0,2,40,4,0,0,0,0,0,2,3,0,2,0,0,0,19241,0,0,0,0,0,0,0
2013-2014,Defence Families of Australia,TRUE,Department of Defence,Defence,TRUE,1/07/2014 13:41,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Defence Housing Australia,TRUE,No data,Defence,FALSE,30/07/2014 23:47,FALSE,0,2,250,0,35,0,0,0,0,1,25,0,0,0,400,0,4500,0,0,0,1840,0,0,0
2013-2014,Defence Reserves Support Council,TRUE,Department of Defence,Defence,TRUE,1/07/2014 14:00,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Department of Defence,TRUE,Department of Defence,Defence,FALSE,3/03/2014 15:17,FALSE,16,89,40486,17,1781,795,172,0,0,12,480,40,48,40,16484,1200,10352,0,0,0,56280,0,3120,0
2013-2014,Department of Veterans' Affairs,TRUE,Department of Veterans' Affairs,Defence,FALSE,19/12/2013 14:29,FALSE,9,18,15000,70,90,12000,5,20,0,3,20,0,0,0,35500,0,70000,0,0,0,0,0,0,0
2013-2014,Military Rehabilitation and Compensation Commission,TRUE,Department of Veterans' Affairs,Defence,TRUE,29/07/2014 10:29,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Minister Assisting the Prime Minister on the Centenary of ANZAC,TRUE,Department of Veterans' Affairs,Defence,TRUE,29/07/2014 10:44,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Minister for Defence,TRUE,Department of Defence,Defence,FALSE,1/07/2014 14:47,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Minister for Defence Materiel,FALSE,Department of Defence,Defence,TRUE,2/05/2014 14:17,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Minister for Defence Science and Personnel,FALSE,Department of Defence,Defence,TRUE,2/05/2014 14:15,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Minister for Veterans' Affairs,TRUE,Department of Veterans' Affairs,Defence,FALSE,29/07/2014 10:23,FALSE,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Parliamentary Secretary to the Minister for Defence,TRUE,Department of Defence,Defence,TRUE,1/07/2014 14:24,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Repatriation Commission,TRUE,Department of Veterans' Affairs,Defence,TRUE,29/07/2014 10:32,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Repatriation Medical Authority,TRUE,No data,Defence,FALSE,21/07/2014 13:17,FALSE,0,1,100,20,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Royal Australian Air Force Veterans' Residences Trust Fund,TRUE,No data,Defence,TRUE,1/07/2014 9:49,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Royal Australian Air Force Welfare Trust Fund,TRUE,No data,Defence,TRUE,26/06/2014 10:16,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Royal Australian Navy Central Canteens Fund,TRUE,Department of Defence,Defence,TRUE,1/07/2014 14:05,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Royal Australian Navy Relief Trust Fund,TRUE,Department of Defence,Defence,TRUE,1/07/2014 14:03,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Specialist Medical Review Council,TRUE,No data,Defence,TRUE,4/07/2014 15:32,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Veterans' Review Board,TRUE,No data,Defence,FALSE,2/07/2014 10:15,FALSE,0,2,19,0,1,0,0,0,0,2,24,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Assistant Minister for Education,TRUE,Department of Education,Education,TRUE,24/07/2014 14:55,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,"Australian Curriculum, Assessment and Reporting Authority",TRUE,No data,Education,FALSE,18/07/2014 14:13,FALSE,0,8,350,40,150,6,0,0,0,8,25,0,5,60,0,0,31731,0,38212,0,0,0,0,0
2013-2014,Australian Institute of Aboriginal and Torres Strait Islander Studies,TRUE,No data,Education,FALSE,29/07/2014 12:57,FALSE,0,8,60,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Australian National University,TRUE,No data,Education,FALSE,2/07/2014 15:45,FALSE,1,3,123,8,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Australian Research Council,TRUE,No data,Education,FALSE,30/07/2014 11:24,FALSE,0,4,0,0,41,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Department of Education,TRUE,Department of Education,Education,FALSE,24/07/2014 14:54,FALSE,3,2,3379,185,339,86,0,0,0,5,204,0,5,0,1871,0,0,0,0,0,920,0,0,0
2013-2014,Minister for Education,TRUE,Department of Education,Education,FALSE,24/07/2014 14:55,FALSE,0,2,45,1,5,0,6,10,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
2013-2014,Parliamentary Secretary for Schools,FALSE,Department of Education,Education,TRUE,9/12/2013 15:03,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Parliamentary Secretary to the Minister for Education,TRUE,Department of Education,Education,TRUE,24/07/2014 14:55,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,The Tertiary Education Quality and Standards Agency,TRUE,No data,Education,FALSE,11/07/2014 10:38,FALSE,0,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Asbestos Safety and Eradication Agency,TRUE,No data,Employment,TRUE,28/07/2014 13:09,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Assistant Minister for Employment,TRUE,Department of Employment,Employment,TRUE,16/07/2014 10:45,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Coal Mining Industry (Long Service Leave Funding) Corporation,TRUE,Department of Employment,Employment,FALSE,16/07/2014 10:34,FALSE,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3300,0,0,0,0,0,0,0
2013-2014,Comcare,TRUE,Comcare,Employment,FALSE,5/12/2013 13:15,FALSE,2,30,3300,132,1200,720,2,1,0,1,1850,0,40,0,400,0,49100,0,0,0,900,0,5000,0
2013-2014,Department of Employment,TRUE,Department of Employment,Employment,FALSE,14/07/2014 11:07,FALSE,7,5,8439,140,430,607,0,0,0,6,278,10,30,20,4923,0,1421,0,0,0,0,0,0,0
2013-2014,Fair Work Commission,TRUE,Fair Work Commission,Employment,FALSE,29/07/2014 11:02,FALSE,1,1,1315,0,0,3,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2013-2014,Fair Work Ombudsman,TRUE,No data,Employment,FALSE,24/01/2014 9:13,FALSE,3,1,4500,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Minister for Employment,TRUE,Department of Employment,Employment,FALSE,9/12/2013 15:02,FALSE,0,3,63,3,2,2,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Office of the Fair Work Building Industry Inspectorate ,TRUE,No data,Employment,FALSE,25/07/2014 14:18,FALSE,0,8,39,8,37,334,0,0,0,2,30,0,0,3,0,0,40580,0,0,0,0,0,0,0
2013-2014,Road Safety Remuneration Tribunal,TRUE,Fair Work Commission,Employment,TRUE,29/07/2014 11:01,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Safe Work Australia,TRUE,No data,Employment,FALSE,7/07/2014 12:37,FALSE,0,2,60,5,5,0,0,0,0,1,5,0,0,0,100,0,0,0,0,0,0,0,0,0
2013-2014,"Safety, Rehabilitation and Compensation Commission",TRUE,Comcare,Employment,FALSE,21/07/2014 10:35,FALSE,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2013-2014,"Seafarers Safety, Rehabilitation and Compensation (Seacare) Authority",TRUE,Comcare,Employment,FALSE,21/07/2014 10:34,FALSE,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Workplace Gender Equality Agency,TRUE,No data,Employment,TRUE,24/07/2014 12:03,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Australian Heritage Council,TRUE,Department of the Environment,Environment,TRUE,30/07/2014 23:31,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Bureau of Meteorology,TRUE,No data,Environment,FALSE,8/07/2014 9:33,FALSE,1,61,162,43,85,14,0,0,0,1,5,0,0,0,163450,0,2278,0,0,0,1350,0,0,0
2013-2014,Clean Energy Regulator,TRUE,No data,Environment,FALSE,10/07/2014 13:30,FALSE,0,22,250,25,55,35,0,0,0,5,40,0,3,0,20,0,0,0,0,0,0,0,0,0
2013-2014,Climate Change Authority,TRUE,Department of the Environment,Environment,FALSE,16/07/2014 13:28,FALSE,0,2,0,4,10,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Commonwealth Environmental Water Holder,TRUE,Department of the Environment,Environment,TRUE,30/07/2014 23:41,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Department of the Environment,TRUE,Department of the Environment,Environment,FALSE,30/07/2014 23:50,FALSE,1,4,3300,410,1300,340,2,0,1,2,300,205,515,0,1200,100,8387,0,0,0,0,0,0,0
2013-2014,Director of National Parks,TRUE,Department of the Environment,Environment,FALSE,30/07/2014 23:52,FALSE,0,1,5,2,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
