Report year,Quarter,Agency,Is agency active,Administrating agency name,Portfolio,Nil return,Last return by agency,Date created,Personal requests received from applicants,Other requests received from applicants,Personal requests on transfer,Other requests on transfer,Personal requests on hand 1 July 2013,Other requests on hand 1 July 2013,Personal requests granted in full,Other requests granted in full,Personal requests granted in part,Other requests granted in part,Personal requests refused,Other requests refused,Personal requests transferred,Other requests transferred,Personal requests withdrawn,Other requests withdrawn,Personal requests responded to in time,Other requests responded to in time,Personal requests responded to up to 30 days out of time,Other requests responded to up to 30 days out of time,Personal requests responded to 31 to 60 days out of time,Other requests responded to 31 to 60 days out of time,Personal requests responded to 61 to 90 days out of time,Other requests responded to 61 to 90 days out of time,Personal requests responded to over 90 days out of time,Other requests responded to over 90 days out of time,Personal requests where charges notified,Other requests where charges notified,Total charges notified for personal requests AUD,Total charges notified for other requests AUD,Total charges collected for personal requests AUD,Total charges collected for other requests AUD,Internal review applications for personal requests,Internal review applications for other requests,Internal review decisions affirmed for personal requests,Internal review decisions affirmed for other requests,Internal review access granted in full for personal requests,Internal review access granted in full for other requests,Internal review access granted in part for personal requests,Internal review access granted in part for other requests,Internal review access grant after deferment personal requests,Internal review access grant after deferment  other requests,Internal review access grant in another form personal requests,Internal review access grant in another form other requests,Internal review charges reduced for personal requests,Internal review charges reduced for other requests,Internal review personal requests withdrawn without concession,Internal review other requests withdrawn without concession,s 48 requests received,s 48 requests responded to in time,s 48 requests responded to up to 30 days out of time,s 48 requests responded to over 30 days out of time,s 48 request granted record altered,s 48 request granted record notated,s 48 request granted record altered and notated,s 48 requests refused,s 48 internal review applications,s 48 internal review granted record altered,s 48 internal review granted record notated,s 48 internal review granted record altered and notated,s 48 internal review application refused,Practical refusal notification personal request,Practical refusal notification other request,Practical refusal subsequently processed personal request,Practical refusal subequently processed other request,Personal requests where no exemption claimed,Other requests where no exemptions claimed,Personal requests where s 33 claimed,Other requests where s 33 claimed,Personal requests where s 34 claimed,Other requests where s 34 claimed,Personal requests where s 37 claimed,Other requests where s 37 claimed,Personal requests where s 38 claimed,Other requests where s 38 claimed,Personal requests where s 42 claimed,Other requests where s 42 claimed,Personal requests where s 45 claimed,Other requests where  s 45 claimed,Personal requests where s 45A claimed,Other requests where  s 45A claimed,Personal requests where s 46 claimed,Other requests where s 46 claimed,Personal requests where s 47 claimed,Other requests where s 47 claimed,Personal requests where s 47A claimed,Other requests where s 47A claimed,Personal requests where s 47B claimed,Other requests where s 47B claimed,Personal requests where s 47C claimed,Other requests where s 47C claimed,Personal requests where s 47D claimed,Other requests where s 47D claimed,Personal requests where s 47E claimed,Other requests where s 47E claimed,Personal requests where s 47F claimed,Other requests where s 47F claimed,Personal requests where s 47G claimed,Other requests where s 47G claimed,Personal requests where s 47H claimed,Other requests where s 47H claimed,Personal requests where s 47J claimed,Other requests where s 47J claimed,Disclosure log listing links to information on same website,Disclosure log listing links to information on another website,Disclosure log listing explains other means of access,Disclosure log unique visitors,Disclosure log pageviews,Disclosure log webstats not collected
2013-2014,3,Cotton Research and Development Corporation,TRUE,No data,Agriculture,FALSE,FALSE,2/05/2014 15:02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,4,Cotton Research and Development Corporation,TRUE,No data,Agriculture,TRUE,FALSE,21/07/2014 10:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,1,Department of Agriculture,TRUE,Department of Agriculture,Agriculture,FALSE,FALSE,8/10/2013 10:31,3,19,1,0,0,8,0,4,0,5,1,3,0,0,2,6,1,12,0,0,0,0,0,0,0,0,0,12,0,18954,0,4358,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,11,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,6,0,4,0,0,0,0,7,1,0,357,501,FALSE
2013-2014,2,Department of Agriculture,TRUE,Department of Agriculture,Agriculture,FALSE,FALSE,13/01/2014 9:42,0,16,0,0,0,0,0,1,0,9,0,4,0,1,1,5,0,14,0,0,0,0,0,0,0,0,0,9,0,5801,0,9340,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,4,0,2,0,0,0,0,6,0,1,301,398,FALSE
2013-2014,3,Department of Agriculture,TRUE,Department of Agriculture,Agriculture,FALSE,FALSE,31/03/2014 11:28,2,19,0,0,0,0,0,0,0,4,0,2,0,0,2,7,0,6,0,0,0,0,0,0,0,0,0,6,0,5682,0,5152,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,3,0,0,0,0,4,0,0,182,251,FALSE
2013-2014,4,Department of Agriculture,TRUE,Department of Agriculture,Agriculture,FALSE,FALSE,8/07/2014 11:09,0,19,0,0,0,0,0,5,0,6,0,8,0,0,0,5,0,19,0,0,0,0,0,0,0,0,0,14,0,2773,0,977,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0,0,0,10,0,0,317,488,FALSE
2013-2014,1,Fisheries Research and Development Corporation,TRUE,No data,Agriculture,TRUE,FALSE,21/07/2014 12:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,2,Fisheries Research and Development Corporation,TRUE,No data,Agriculture,TRUE,FALSE,21/07/2014 12:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,3,Fisheries Research and Development Corporation,TRUE,No data,Agriculture,FALSE,FALSE,21/07/2014 12:28,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TRUE
2013-2014,4,Fisheries Research and Development Corporation,TRUE,No data,Agriculture,TRUE,FALSE,21/07/2014 13:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,1,Grains Research and Development Corporation,TRUE,No data,Agriculture,TRUE,FALSE,16/10/2013 14:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,2,Grains Research and Development Corporation,TRUE,No data,Agriculture,TRUE,FALSE,7/01/2014 10:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,3,Grains Research and Development Corporation,TRUE,No data,Agriculture,FALSE,FALSE,16/04/2014 14:27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,4,Grains Research and Development Corporation,TRUE,No data,Agriculture,FALSE,FALSE,21/07/2014 7:23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,TRUE
2013-2014,1,Grape and Wine Research and Development Corporation,FALSE,No data,Agriculture,TRUE,FALSE,3/10/2013 10:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,2,Grape and Wine Research and Development Corporation,FALSE,No data,Agriculture,TRUE,FALSE,8/01/2014 16:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,3,Grape and Wine Research and Development Corporation,FALSE,No data,Agriculture,FALSE,FALSE,2/04/2014 12:07,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,4,Grape and Wine Research and Development Corporation,FALSE,No data,Agriculture,TRUE,TRUE,2/07/2014 16:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,1,Minister for Agriculture,TRUE,Department of Agriculture,Agriculture,TRUE,FALSE,11/10/2013 10:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,2,Minister for Agriculture,TRUE,Department of Agriculture,Agriculture,FALSE,FALSE,13/01/2014 11:13,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,3,Minister for Agriculture,TRUE,Department of Agriculture,Agriculture,TRUE,FALSE,17/04/2014 11:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,4,Minister for Agriculture,TRUE,Department of Agriculture,Agriculture,FALSE,FALSE,8/07/2014 14:01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,1,National Rural Advisory Council,TRUE,No data,Agriculture,TRUE,FALSE,20/11/2013 9:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,2,National Rural Advisory Council,TRUE,No data,Agriculture,TRUE,FALSE,31/07/2014 8:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,3,National Rural Advisory Council,TRUE,No data,Agriculture,TRUE,FALSE,31/07/2014 8:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,4,National Rural Advisory Council,TRUE,No data,Agriculture,TRUE,FALSE,31/07/2014 8:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,1,Parliamentary Secretary to the Minister for Agriculture,TRUE,Department of Agriculture,Agriculture,TRUE,FALSE,11/10/2013 10:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,2,Parliamentary Secretary to the Minister for Agriculture,TRUE,Department of Agriculture,Agriculture,TRUE,FALSE,13/01/2014 11:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2013-2014,3,Parliamentary Secretary to the Minister for Agriculture,TRUE,Department of Agriculture,Agriculture,TRUE,FALSE,17/04/2014 11:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
